zip,city,state_id,state_name,population
1475,Winchendon,MA,Massachusetts,10194
1501,Auburn,MA,Massachusetts,16780
1503,Berlin,MA,Massachusetts,3311
1504,Blackstone,MA,Massachusetts,9211
1505,Boylston,MA,Massachusetts,4896
1506,Brookfield,MA,Massachusetts,3442
1507,Charlton,MA,Massachusetts,13359
1510,Clinton,MA,Massachusetts,15430
1515,East Brookfield,MA,Massachusetts,2120
1516,Douglas,MA,Massachusetts,9287
1518,Fiskdale,MA,Massachusetts,2835
1519,Grafton,MA,Massachusetts,7738
1520,Holden,MA,Massachusetts,16864
1521,Holland,MA,Massachusetts,2576
1522,Jefferson,MA,Massachusetts,3021
1523,Lancaster,MA,Massachusetts,8470
1524,Leicester,MA,Massachusetts,6110
1525,Linwood,MA,Massachusetts,0
1527,Millbury,MA,Massachusetts,13899
1529,Millville,MA,Massachusetts,3156
1531,New Braintree,MA,Massachusetts,925
1532,Northborough,MA,Massachusetts,15694
1534,Northbridge,MA,Massachusetts,6097
1535,North Brookfield,MA,Massachusetts,4739
1536,North Grafton,MA,Massachusetts,7119
1537,North Oxford,MA,Massachusetts,1821
1540,Oxford,MA,Massachusetts,11521
1541,Princeton,MA,Massachusetts,3500
1542,Rochdale,MA,Massachusetts,2572
1543,Rutland,MA,Massachusetts,9202
1545,Shrewsbury,MA,Massachusetts,38440
1550,Southbridge,MA,Massachusetts,17806
1560,South Grafton,MA,Massachusetts,4914
1561,South Lancaster,MA,Massachusetts,0
1562,Spencer,MA,Massachusetts,11961
1564,Sterling,MA,Massachusetts,8111
1566,Sturbridge,MA,Massachusetts,7054
1568,Upton,MA,Massachusetts,7926
1569,Uxbridge,MA,Massachusetts,14127
1570,Webster,MA,Massachusetts,17674
1571,Dudley,MA,Massachusetts,11886
1581,Westborough,MA,Massachusetts,21591
1583,West Boylston,MA,Massachusetts,7516
1585,West Brookfield,MA,Massachusetts,4942
1588,Whitinsville,MA,Massachusetts,10357
1590,Sutton,MA,Massachusetts,9287
1602,Worcester,MA,Massachusetts,25791
1603,Worcester,MA,Massachusetts,21034
1604,Worcester,MA,Massachusetts,39988
1605,Worcester,MA,Massachusetts,31086
1606,Worcester,MA,Massachusetts,22269
1607,Worcester,MA,Massachusetts,8755
1608,Worcester,MA,Massachusetts,4951
1609,Worcester,MA,Massachusetts,23184
1610,Worcester,MA,Massachusetts,28719
1611,Cherry Valley,MA,Massachusetts,2401
1612,Paxton,MA,Massachusetts,4996
1701,Framingham,MA,Massachusetts,32270
1702,Framingham,MA,Massachusetts,39761
1718,Acton,MA,Massachusetts,528
1719,Boxborough,MA,Massachusetts,5468
1720,Acton,MA,Massachusetts,23322
1721,Ashland,MA,Massachusetts,18694
1730,Bedford,MA,Massachusetts,14478
1731,Hanscom Afb,MA,Massachusetts,1745
1740,Bolton,MA,Massachusetts,5698
1741,Carlisle,MA,Massachusetts,5209
1742,Concord,MA,Massachusetts,18337
1745,Fayville,MA,Massachusetts,660
1746,Holliston,MA,Massachusetts,14964
1747,Hopedale,MA,Massachusetts,6024
1748,Hopkinton,MA,Massachusetts,19050
1749,Hudson,MA,Massachusetts,19959
1752,Marlborough,MA,Massachusetts,41398
1754,Maynard,MA,Massachusetts,10663
1756,Mendon,MA,Massachusetts,6266
1757,Milford,MA,Massachusetts,30473
1760,Natick,MA,Massachusetts,36520
1770,Sherborn,MA,Massachusetts,4404
1772,Southborough,MA,Massachusetts,9781
1773,Lincoln,MA,Massachusetts,5257
1775,Stow,MA,Massachusetts,7109
1776,Sudbury,MA,Massachusetts,19067
1778,Wayland,MA,Massachusetts,13915
1801,Woburn,MA,Massachusetts,41205
1803,Burlington,MA,Massachusetts,26068
1810,Andover,MA,Massachusetts,35608
1821,Billerica,MA,Massachusetts,30203
1824,Chelmsford,MA,Massachusetts,26628
1826,Dracut,MA,Massachusetts,32373
1827,Dunstable,MA,Massachusetts,3375
1830,Haverhill,MA,Massachusetts,26685
1832,Haverhill,MA,Massachusetts,26065
1833,Georgetown,MA,Massachusetts,8380
1834,Groveland,MA,Massachusetts,6747
1835,Haverhill,MA,Massachusetts,14637
1840,Lawrence,MA,Massachusetts,7092
1841,Lawrence,MA,Massachusetts,52761
1843,Lawrence,MA,Massachusetts,28444
1844,Methuen,MA,Massachusetts,53015
1845,North Andover,MA,Massachusetts,31881
1850,Lowell,MA,Massachusetts,16983
1851,Lowell,MA,Massachusetts,32308
1852,Lowell,MA,Massachusetts,36700
1854,Lowell,MA,Massachusetts,28808
1860,Merrimac,MA,Massachusetts,6707
1862,North Billerica,MA,Massachusetts,11703
1863,North Chelmsford,MA,Massachusetts,9592
1864,North Reading,MA,Massachusetts,15634
1867,Reading,MA,Massachusetts,25474
1876,Tewksbury,MA,Massachusetts,30962
1879,Tyngsboro,MA,Massachusetts,12435
1880,Wakefield,MA,Massachusetts,27258
1886,Westford,MA,Massachusetts,24584
1887,Wilmington,MA,Massachusetts,23195
1890,Winchester,MA,Massachusetts,22862
1901,Lynn,MA,Massachusetts,1934
1902,Lynn,MA,Massachusetts,51680
1904,Lynn,MA,Massachusetts,20103
1905,Lynn,MA,Massachusetts,27188
1906,Saugus,MA,Massachusetts,28599
1907,Swampscott,MA,Massachusetts,15279
1908,Nahant,MA,Massachusetts,3328
1913,Amesbury,MA,Massachusetts,17277
1915,Beverly,MA,Massachusetts,41656
1921,Boxford,MA,Massachusetts,8229
1922,Byfield,MA,Massachusetts,3791
1923,Danvers,MA,Massachusetts,27778
1929,Essex,MA,Massachusetts,3605
1930,Gloucester,MA,Massachusetts,29862
1937,Hathorne,MA,Massachusetts,146
1938,Ipswich,MA,Massachusetts,13820
1940,Lynnfield,MA,Massachusetts,13183
1944,Manchester,MA,Massachusetts,5368
1945,Marblehead,MA,Massachusetts,20390
1949,Middleton,MA,Massachusetts,9727
1950,Newburyport,MA,Massachusetts,18444
1951,Newbury,MA,Massachusetts,2938
1952,Salisbury,MA,Massachusetts,9217
1960,Peabody,MA,Massachusetts,53961
1965,Prides Crossing,MA,Massachusetts,752
1966,Rockport,MA,Massachusetts,6977
1969,Rowley,MA,Massachusetts,6214
1970,Salem,MA,Massachusetts,44115
1982,South Hamilton,MA,Massachusetts,7646
1983,Topsfield,MA,Massachusetts,6535
1984,Wenham,MA,Massachusetts,4930
1985,West Newbury,MA,Massachusetts,4536
2019,Bellingham,MA,Massachusetts,17160
2021,Canton,MA,Massachusetts,24459
2025,Cohasset,MA,Massachusetts,8358
2026,Dedham,MA,Massachusetts,25109
2030,Dover,MA,Massachusetts,5893
2032,East Walpole,MA,Massachusetts,4914
2035,Foxboro,MA,Massachusetts,18516
2038,Franklin,MA,Massachusetts,33067
2043,Hingham,MA,Massachusetts,24185
2045,Hull,MA,Massachusetts,10098
2047,Humarock,MA,Massachusetts,142
2048,Mansfield,MA,Massachusetts,23855
2050,Marshfield,MA,Massachusetts,25903
2052,Medfield,MA,Massachusetts,12923
2053,Medway,MA,Massachusetts,13251
2054,Millis,MA,Massachusetts,8699
2056,Norfolk,MA,Massachusetts,11556
2061,Norwell,MA,Massachusetts,11309
2062,Norwood,MA,Massachusetts,31380
2066,Scituate,MA,Massachusetts,18895
2067,Sharon,MA,Massachusetts,18478
2071,South Walpole,MA,Massachusetts,1677
2072,Stoughton,MA,Massachusetts,29074
2081,Walpole,MA,Massachusetts,19703
2090,Westwood,MA,Massachusetts,16213
2093,Wrentham,MA,Massachusetts,12305
2108,Boston,MA,Massachusetts,4178
2109,Boston,MA,Massachusetts,3714
2110,Boston,MA,Massachusetts,2178
2111,Boston,MA,Massachusetts,8067
2113,Boston,MA,Massachusetts,6522
2114,Boston,MA,Massachusetts,13853
2115,Boston,MA,Massachusetts,28621
2116,Boston,MA,Massachusetts,22040
2118,Boston,MA,Massachusetts,28522
2119,Roxbury,MA,Massachusetts,26851
2120,Roxbury Crossing,MA,Massachusetts,15248
2121,Dorchester,MA,Massachusetts,28298
2122,Dorchester,MA,Massachusetts,23471
2124,Dorchester Center,MA,Massachusetts,55897
2125,Dorchester,MA,Massachusetts,33069
2126,Mattapan,MA,Massachusetts,25313
2127,South Boston,MA,Massachusetts,36646
2128,East Boston,MA,Massachusetts,44124
2129,Charlestown,MA,Massachusetts,19994
2130,Jamaica Plain,MA,Massachusetts,41109
2131,Roslindale,MA,Massachusetts,31564
2132,West Roxbury,MA,Massachusetts,27069
2133,Boston,MA,Massachusetts,80
2134,Allston,MA,Massachusetts,17637
2135,Brighton,MA,Massachusetts,43683
2136,Hyde Park,MA,Massachusetts,38071
2138,Cambridge,MA,Massachusetts,38077
2139,Cambridge,MA,Massachusetts,39609
2140,Cambridge,MA,Massachusetts,21361
2141,Cambridge,MA,Massachusetts,14677
2142,Cambridge,MA,Massachusetts,4349
2143,Somerville,MA,Massachusetts,25161
2144,Somerville,MA,Massachusetts,25009
2145,Somerville,MA,Massachusetts,27929
2148,Malden,MA,Massachusetts,65509
2149,Everett,MA,Massachusetts,49236
2150,Chelsea,MA,Massachusetts,39444
2151,Revere,MA,Massachusetts,59949
2152,Winthrop,MA,Massachusetts,18807
2155,Medford,MA,Massachusetts,61276
2163,Boston,MA,Massachusetts,1852
2169,Quincy,MA,Massachusetts,60928
2170,Quincy,MA,Massachusetts,19685
2171,Quincy,MA,Massachusetts,20513
2176,Melrose,MA,Massachusetts,29488
2180,Stoneham,MA,Massachusetts,22986
2184,Braintree,MA,Massachusetts,38762
2186,Milton,MA,Massachusetts,28716
2188,Weymouth,MA,Massachusetts,15396
2189,East Weymouth,MA,Massachusetts,15231
2190,South Weymouth,MA,Massachusetts,19029
2191,North Weymouth,MA,Massachusetts,8130
2199,Boston,MA,Massachusetts,1253
2203,Boston,MA,Massachusetts,0
2205,Boston,MA,Massachusetts,0
2210,Boston,MA,Massachusetts,6554
2215,Boston,MA,Massachusetts,24054
2301,Brockton,MA,Massachusetts,68608
2302,Brockton,MA,Massachusetts,36472
2322,Avon,MA,Massachusetts,4753
2324,Bridgewater,MA,Massachusetts,26022
2325,Bridgewater,MA,Massachusetts,2647
2330,Carver,MA,Massachusetts,11645
2332,Duxbury,MA,Massachusetts,16110
2333,East Bridgewater,MA,Massachusetts,14420
2338,Halifax,MA,Massachusetts,7734
2339,Hanover,MA,Massachusetts,14800
2341,Hanson,MA,Massachusetts,10466
2343,Holbrook,MA,Massachusetts,11267
2346,Middleboro,MA,Massachusetts,24360
2347,Lakeville,MA,Massachusetts,11732
2350,Monponsett,MA,Massachusetts,149
2351,Abington,MA,Massachusetts,17008
2356,North Easton,MA,Massachusetts,12547
2357,North Easton,MA,Massachusetts,1410
2359,Pembroke,MA,Massachusetts,18335
2360,Plymouth,MA,Massachusetts,62405
2364,Kingston,MA,Massachusetts,13782
2366,South Carver,MA,Massachusetts,251
2367,Plympton,MA,Massachusetts,2934
2368,Randolph,MA,Massachusetts,34736
2370,Rockland,MA,Massachusetts,17709
2375,South Easton,MA,Massachusetts,11205
2379,West Bridgewater,MA,Massachusetts,7682
2382,Whitman,MA,Massachusetts,15215
2420,Lexington,MA,Massachusetts,16287
2421,Lexington,MA,Massachusetts,17798
2445,Brookline,MA,Massachusetts,22568
2446,Brookline,MA,Massachusetts,31109
2451,Waltham,MA,Massachusetts,18153
2452,Waltham,MA,Massachusetts,16173
2453,Waltham,MA,Massachusetts,30314
2457,Babson Park,MA,Massachusetts,1886
2458,Newton,MA,Massachusetts,13308
2459,Newton Center,MA,Massachusetts,18604
2460,Newtonville,MA,Massachusetts,10033
2461,Newton Highlands,MA,Massachusetts,6717
2462,Newton Lower Falls,MA,Massachusetts,1459
2464,Newton Upper Falls,MA,Massachusetts,3730
2465,West Newton,MA,Massachusetts,11297
2466,Auburndale,MA,Massachusetts,8553
2467,Chestnut Hill,MA,Massachusetts,22325
2468,Waban,MA,Massachusetts,5901
2472,Watertown,MA,Massachusetts,35317
2474,Arlington,MA,Massachusetts,28283
2476,Arlington,MA,Massachusetts,17732
2478,Belmont,MA,Massachusetts,26966
2481,Wellesley Hills,MA,Massachusetts,17262
2482,Wellesley,MA,Massachusetts,10758
2492,Needham,MA,Massachusetts,21481
2493,Weston,MA,Massachusetts,11443
2494,Needham Heights,MA,Massachusetts,10578
2532,Buzzards Bay,MA,Massachusetts,13180
2534,Cataumet,MA,Massachusetts,1284
2535,Chilmark,MA,Massachusetts,2393
2536,East Falmouth,MA,Massachusetts,21100
2537,East Sandwich,MA,Massachusetts,6486
2538,East Wareham,MA,Massachusetts,4556
2539,Edgartown,MA,Massachusetts,5212
2540,Falmouth,MA,Massachusetts,8354
2542,Buzzards Bay,MA,Massachusetts,854
2543,Woods Hole,MA,Massachusetts,810
2553,Monument Beach,MA,Massachusetts,38
2554,Nantucket,MA,Massachusetts,14033
2556,North Falmouth,MA,Massachusetts,2586
2557,Oak Bluffs,MA,Massachusetts,1849
2558,Onset,MA,Massachusetts,1658
2559,Pocasset,MA,Massachusetts,2812
2561,Sagamore,MA,Massachusetts,260
2562,Sagamore Beach,MA,Massachusetts,3698
2563,Sandwich,MA,Massachusetts,10315
2564,Siasconset,MA,Massachusetts,243
2568,Vineyard Haven,MA,Massachusetts,8829
2571,Wareham,MA,Massachusetts,10538
2575,West Tisbury,MA,Massachusetts,2417
2576,West Wareham,MA,Massachusetts,4498
2584,Nantucket,MA,Massachusetts,23
2601,Hyannis,MA,Massachusetts,16066
2630,Barnstable,MA,Massachusetts,2539
2631,Brewster,MA,Massachusetts,10189
2632,Centerville,MA,Massachusetts,12217
2633,Chatham,MA,Massachusetts,4536
2635,Cotuit,MA,Massachusetts,3673
2637,Cummaquid,MA,Massachusetts,351
2638,Dennis,MA,Massachusetts,3256
2639,Dennis Port,MA,Massachusetts,3387
2641,East Dennis,MA,Massachusetts,299
2642,Eastham,MA,Massachusetts,5772
2643,East Orleans,MA,Massachusetts,0
2644,Forestdale,MA,Massachusetts,3618
2645,Harwich,MA,Massachusetts,11060
2646,Harwich Port,MA,Massachusetts,1715
2647,Hyannis Port,MA,Massachusetts,228
2648,Marstons Mills,MA,Massachusetts,7592
2649,Mashpee,MA,Massachusetts,15234
2650,North Chatham,MA,Massachusetts,1017
2652,North Truro,MA,Massachusetts,924
2653,Orleans,MA,Massachusetts,6342
2655,Osterville,MA,Massachusetts,3535
2657,Provincetown,MA,Massachusetts,3681
2659,South Chatham,MA,Massachusetts,1090
2660,South Dennis,MA,Massachusetts,6767
2663,South Wellfleet,MA,Massachusetts,446
2664,South Yarmouth,MA,Massachusetts,9720
2666,Truro,MA,Massachusetts,751
2667,Wellfleet,MA,Massachusetts,3925
2668,West Barnstable,MA,Massachusetts,2514
2670,West Dennis,MA,Massachusetts,1071
2671,West Harwich,MA,Massachusetts,932
2672,West Hyannisport,MA,Massachusetts,0
2673,West Yarmouth,MA,Massachusetts,8969
2675,Yarmouth Port,MA,Massachusetts,6919
2702,Assonet,MA,Massachusetts,4445
2703,Attleboro,MA,Massachusetts,46479
2713,Cuttyhunk,MA,Massachusetts,42
2715,Dighton,MA,Massachusetts,3778
2717,East Freetown,MA,Massachusetts,4777
2718,East Taunton,MA,Massachusetts,7125
2719,Fairhaven,MA,Massachusetts,15878
